timestamp,kwh
2025-11-23 16:00:00,6.831588465328781
2025-11-23 17:00:00,5.82270188042054
2025-11-23 18:00:00,3.720044233563459
2025-11-23 19:00:00,3.7273479212986116
2025-11-23 20:00:00,5.9858651827392535
2025-11-23 21:00:00,7.104823742973438
2025-11-23 22:00:00,7.663024622472543
2025-11-23 23:00:00,7.883204160839818
2025-11-24 00:00:00,8.679711577030304
2025-11-24 01:00:00,10.26983809169199
2025-11-24 02:00:00,12.1774216274775
2025-11-24 03:00:00,14.776957944491276
2025-11-24 04:00:00,14.671710938988713
2025-11-24 05:00:00,16.358669743341146
2025-11-24 06:00:00,15.247368094236078
2025-11-24 07:00:00,15.47929406556274
2025-11-24 08:00:00,13.002061791992332
2025-11-24 09:00:00,13.907397159153573
2025-11-24 10:00:00,13.616130199033922
2025-11-24 11:00:00,12.710077587915745
2025-11-24 12:00:00,10.62984056175014
2025-11-24 13:00:00,7.632938044954806
2025-11-24 14:00:00,7.982472395520584
2025-11-24 15:00:00,5.468244947359853
2025-11-24 16:00:00,5.85246312764848
2025-11-24 17:00:00,5.862998433052238
2025-11-24 18:00:00,6.059668140410001
2025-11-24 19:00:00,4.253871741804457
2025-11-24 20:00:00,5.971481134454653
2025-11-24 21:00:00,7.6552022086174425
2025-11-24 22:00:00,8.402322578446618
2025-11-24 23:00:00,7.675349017689445
2025-11-25 00:00:00,7.8911394041821
2025-11-25 01:00:00,11.659869323046248
2025-11-25 02:00:00,12.347904869919148
2025-11-25 03:00:00,14.67385114746994
2025-11-25 04:00:00,13.115579392918006
2025-11-25 05:00:00,16.332430463472416
2025-11-25 06:00:00,15.585690527412233
2025-11-25 07:00:00,14.63726708193327
2025-11-25 08:00:00,14.788138493259517
2025-11-25 09:00:00,15.134478489225994
2025-11-25 10:00:00,11.42121108368161
2025-11-25 11:00:00,11.556369060451406
2025-11-25 12:00:00,8.035272757074525
2025-11-25 13:00:00,7.961366562768712
2025-11-25 14:00:00,8.158855375155017
2025-11-25 15:00:00,6.487206455856037
