timestamp,kwh
2025-11-23 16:00:00,5.895314025951608
2025-11-23 17:00:00,5.883570555348778
2025-11-23 18:00:00,4.878697556688092
2025-11-23 19:00:00,6.114244078768232
2025-11-23 20:00:00,3.710992875023616
2025-11-23 21:00:00,6.354747899333854
2025-11-23 22:00:00,7.171741977347962
2025-11-23 23:00:00,9.279766746389358
2025-11-24 00:00:00,10.157854385531916
2025-11-24 01:00:00,11.024176095073305
2025-11-24 02:00:00,9.640869090162962
2025-11-24 03:00:00,15.364325493120015
2025-11-24 04:00:00,14.142838576885609
2025-11-24 05:00:00,14.866740613629705
2025-11-24 06:00:00,16.054439721178117
2025-11-24 07:00:00,15.83940571704652
2025-11-24 08:00:00,15.841029348556981
2025-11-24 09:00:00,13.119690488867205
2025-11-24 10:00:00,12.973824084408658
2025-11-24 11:00:00,11.035438186716167
2025-11-24 12:00:00,8.860001402419178
2025-11-24 13:00:00,8.175948729230106
2025-11-24 14:00:00,8.214695792011524
2025-11-24 15:00:00,7.833603815828378
2025-11-24 16:00:00,4.219754441698546
2025-11-24 17:00:00,5.900541752898612
2025-11-24 18:00:00,5.101993801679564
2025-11-24 19:00:00,6.046464598069102
2025-11-24 20:00:00,8.1809108384566
2025-11-24 21:00:00,6.546186212128288
2025-11-24 22:00:00,7.514352430441128
2025-11-24 23:00:00,8.637816532584326
2025-11-25 00:00:00,11.7797091355105
2025-11-25 01:00:00,10.873583328195647
2025-11-25 02:00:00,11.743694420501791
2025-11-25 03:00:00,13.199288674039002
2025-11-25 04:00:00,14.271931346683148
2025-11-25 05:00:00,15.332146015353425
2025-11-25 06:00:00,13.940453551851228
2025-11-25 07:00:00,14.67825706148605
2025-11-25 08:00:00,14.269254439406337
2025-11-25 09:00:00,14.230785063924985
2025-11-25 10:00:00,11.712404225530967
2025-11-25 11:00:00,10.050406256819683
2025-11-25 12:00:00,11.011733528872723
2025-11-25 13:00:00,10.470616615529694
2025-11-25 14:00:00,8.310376283530724
2025-11-25 15:00:00,4.8048885566758885
